UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
자동결품예정여부 Scheduled to automati,autoShortgYn,업체 주문/배송,1,단일,✅ 핵심 UDS,autoShortgYn: 자동결품예정여부 Scheduled to automatically sell out | autoShortgYn: 자동결품예정여부 Scheduled to automatically sell out
재지시여부 구분 Y/N Reinstruct Yes Or No Reinst,reOrderYns,업체 주문/배송,1,단일,✅ 핵심 UDS,reOrderYns: 재지시여부 구분 Y/N Reinstruct Yes Or No Reinstruct : Y Not Reinstruct : N | reOrderYns: 재지시여부 구분 Y/N Reinstruct Yes Or No Reinstruct : Y Not Reinstruct : N | reOrderYns: 재지시여부 구분 Y/N Reinstruct Yes Or No Reinstruct : Y Not Reinstruct : N
재지시여부구분 Reinstruct Yes Or No,reOrderYn,업체 주문/배송,1,단일,✅ 핵심 UDS,reOrderYn: 재지시여부구분 Reinstruct Yes Or No | reOrderYn: 재지시여부구분 Reinstruct Yes Or No | reOrderYn: 재지시여부구분 Reinstruct Yes Or No
정산반영일시 Fee Adjustment Reflecte,settlRfltDts,업체 주문/배송,1,단일,✅ 핵심 UDS,settlRfltDts: 정산반영일시 Fee Adjustment Reflected Date
제휴유형명 Alliance Type Name,allnTypeNm,업체 주문/배송,1,단일,✅ 핵심 UDS,allnTypeNm: 제휴유형명 Alliance Type Name
제휴주문번호 Alliance Order Number,allnOrdNo,업체 주문/배송,1,단일,✅ 핵심 UDS,allnOrdNo: 제휴주문번호 Alliance Order Number | allnOrdNo: 제휴주문번호 Alliance Order Number | allnOrdNo: 제휴주문번호 Alliance Order Number
조회 시작일,perdStrDts,업체 주문/배송,1,단일,✅ 핵심 UDS,"perdStrDts: 기간시작일, 일반조회일 경우 필수 값. 기간은 180일 이내 If general search, then mandatory value. Period is within 180 days | perdStrDts: 샘플코드에서 확인된 필드 | perdStrDts: 샘플코드에서 확인된 필드"
조회 종료일,perdEndDts,업체 주문/배송,1,단일,✅ 핵심 UDS,"perdEndDts: 기간종료일, 일반조회일 경우 필수 값. 기간은 180일 이내 If general search, then mandatory value. Period is within 180 days | perdEndDts: 샘플코드에서 확인된 필드 | perdEndDts: 샘플코드에서 확인된 필드"
조회기간 유형,perdType,업체 주문/배송,1,단일,✅ 핵심 UDS,"perdType: 기간타입, 일반조회일 경우 필수 값 01 배송지시일 02 주문완료일 03 출고예정일 If general search, then mandatory value. 01 Shipping Instructed Date 02 Order Completed Date 03 Release Scheduled Date | perdType: 샘플코드에서 확인된 필드 | perdType: 샘플코드에서 확인된 필드"
주문 배송메모,ordMemoCntt,업체 주문/배송,1,단일,✅ 핵심 UDS,ordMemoCntt: 고객배송메모 Customer Shipping Memo | ordMemoCntt: 샘플코드에서 확인된 필드 | ordMemoCntt: 고객배송메모 Customer Shipping Memo
주문배송지ID Order Shipping Address,ordShpplocId,업체 주문/배송,1,단일,✅ 핵심 UDS,ordShpplocId: 주문배송지ID Order Shipping Address Identification
주문번호,ordNo,업체 주문/배송,1,단일,✅ 핵심 UDS,ordNo: 주문번호 Order Number | ordNo: 샘플코드에서 확인된 필드 | ordNo: 주문번호 Order Number
주문비용발생코드 01: 부과 02: 부과취소 Shipp,ordCstOccCd,업체 주문/배송,1,단일,✅ 핵심 UDS,ordCstOccCd: 주문비용발생코드 01: 부과 02: 부과취소 Shipping Cost Cash On Delivery Yes Or No 01:Charge 02:Waive
주문비용아이디 Order Cost Identificat,ordCstId,업체 주문/배송,1,단일,✅ 핵심 UDS,ordCstId: 주문비용아이디 Order Cost Identification
주문상태 코드,ordStatCd,업체 주문/배송,1,단일,✅ 핵심 UDS,ordStatCd: 주문상태코드 Order Status Code | ordStatCd: 샘플코드에서 확인된 필드
주문상품 순번,ordItemSeq,업체 주문/배송,1,단일,✅ 핵심 UDS,ordItemSeq: 주문순번 Order Sequence | ordItemSeq: 샘플코드에서 확인된 필드 | ordItemSeq: 주문순번 Order Sequence
주문상품구분 Order Item Division,ordItemDivNm,업체 주문/배송,1,단일,✅ 핵심 UDS,ordItemDivNm: 주문상품구분 Order Item Division | ordItemDivNm: 주문상품구분 Order Item Division
주문상품유형명 Order Item Type Name,ordItemTypeNm,업체 주문/배송,1,단일,✅ 핵심 UDS,ordItemTypeNm: 주문상품유형명 Order Item Type Name
주문상품유형코드 09: 옵션상품 10: 일반상품 11:,ordItemTypeCd,업체 주문/배송,1,단일,✅ 핵심 UDS,ordItemTypeCd: 주문상품유형코드 09: 옵션상품 10: 일반상품 11: 사은품 12: 추가구성상품 21: 묶음할인상품 50: 지역상품 60: 묶음상품 61: 한우묶음상품 70: 기획팩상품 Order Item Type Code 09: 옵션상품 10: 일반상품 11: 사은품 12: 추가구성상품 21: 묶음할인상품 50: 지역상품 60: 묶음상품 61: 한우묶음상품 70: 기획팩상품
주문수량,ordQty,업체 주문/배송,1,단일,✅ 핵심 UDS,ordQty: 주문수량 Order Quantity | ordQty: 샘플코드에서 확인된 필드 | ordQty: 주문수량 Order Quantity
주문완료일시 Order Completed Date,ordCmplDts,업체 주문/배송,1,단일,✅ 핵심 UDS,ordCmplDts: 주문완료일시 Order Completed Date | ordCmplDts: 주문완료일시 Order Completed Date | ordCmplDts: 주문완료일시 Order Completed Date
주문자 도로명 주소,ordpeRoadAddr,업체 주문/배송,1,단일,✅ 핵심 UDS,ordpeRoadAddr: 수취인 도로명주소 Recipient Road Name Address | ordpeRoadAddr: 샘플코드에서 확인된 필드
주문자 휴대전화,ordpeHpno,업체 주문/배송,1,단일,✅ 핵심 UDS,ordpeHpno: 주문자 휴대폰번호 Customer Mobile Phone Number | ordpeHpno: 샘플코드에서 확인된 필드 | ordpeHpno: 주문자 휴대폰번호 Customer Mobile Phone Number
주문자명,ordpeNm,업체 주문/배송,1,단일,✅ 핵심 UDS,ordpeNm: 주문자 Customer | ordpeNm: 주문자 Customer | ordpeNm: 샘플코드에서 확인된 필드
주문접수일시,ordRcpDts,업체 주문/배송,1,단일,✅ 핵심 UDS,ordRcpDts: 주문접수일시 Order Registered Date | ordRcpDts: 샘플코드에서 확인된 필드
주문확인일 Order Confirmed Date,ordCnfDts,업체 주문/배송,1,단일,✅ 핵심 UDS,ordCnfDts: 주문확인일 Order Confirmed Date
중량정보등록여부 Y/N Weight Informatio,weightInfoRegYn / wgtRegYn,업체 주문/배송,1,단일,✅ 핵심 UDS,weightInfoRegYn: 중량정보등록여부 Y/N Weight Information Registeration Yes Or No Y/N | wgtRegYn: 중량정보등록여부 Y/N Weight Information Registeration Yes Or No Y/N
지시수량 (21.01.05 삭제. dircItemQty 를 사용해주세요.,dircQty,업체 주문/배송,1,단일,✅ 핵심 UDS,dircQty: 지시수량 (21.01.05 삭제. dircItemQty 를 사용해주세요.) Instructed Quantity (21.01.05 deleted. Please use 'dircItemQty')
지시수량 Instructed Quantity,dircItemQty,업체 주문/배송,1,단일,✅ 핵심 UDS,dircItemQty: 지시수량 Instructed Quantity | dircItemQty: 지시수량 Instructed Quantity | dircItemQty: 지시수량 Instructed Quantity
지연횟수 Delay Counts,delayNts,업체 주문/배송,1,단일,✅ 핵심 UDS,delayNts: 지연횟수 Delay Counts
착불 여부,shppcstCodYn,업체 주문/배송,1,단일,✅ 핵심 UDS,"shppcstCodYn: 배송비 착불여부 Y: 착불 N: 선불 Shipping Cost Cash On Delivery Yes Or No Y: Cash On Delivery N: Prepaid"" | shppcstCodYn: 샘플코드에서 확인된 필드 | shppcstCodYn: 배송비 착불여부 Y: 착불 N: 선불 Shipping Cost Cash On Delivery Yes Or No Y: Cash On Delivery N: Prepaid"""
처리수량 Processed Quantity,procItemQty,업체 주문/배송,1,단일,✅ 핵심 UDS,procItemQty: 처리수량 Processed Quantity | procItemQty: 처리수량 Processed Quantity | procItemQty: 처리수량 Processed Quantity
최종배송상세진행상태명 Final Shipping Detail Proces,lastShppProgStatDtlNm,업체 주문/배송,1,단일,✅ 핵심 UDS,lastShppProgStatDtlNm: 최종배송상세진행상태명 Final Shipping Detail Process Status Name
최종배송상세진행상태명(배송상품단위) Final Shipping Detai,lastShppProgStatDtlNm,업체 주문/배송,1,단일,✅ 핵심 UDS,lastShppProgStatDtlNm: 최종배송상세진행상태명(배송상품단위) Final Shipping Detail Process Status Name (Shipping Item Unit)
최종배송상세진행상태코드 11 배송지시 21 피킹지시 2,lastShppProgStatDtlCd,업체 주문/배송,1,단일,✅ 핵심 UDS,lastShppProgStatDtlCd: 최종배송상세진행상태코드 11 배송지시 21 피킹지시 22 피킹완료 31 패킹완료 41 출고보류 42 출고지연 43 출고완료 51 배송완료 52 배송거절 Final Shipping Detail Process Status Code 11 Shipping Instructed 21 Picking Instructed 22 Picking Completed 31 Packing Completed 41 Release On Hold 42 Release Delayed 43 Release Completed 51 Shipping Completed 52 Shipping Rejected | lastShppProgStatDtlCd: 최종배송상세진행상태코드 11 배송지시 21 피킹지시 22 피킹완료 31 패킹완료 41 출고보류 42 출고지연 43 출고완료 51 배송완료 52 배송거절 Final Shipping Detail Process Status Code 11 Shipping Instructed 21 Picking Instructed 22 Picking Completed 31 Packing Completed 41 Release On Hold 42 Release Delayed 43 Release Completed 51 Shipping Completed 52 Shipping Rejected
최종배송상세진행상태코드(배송단위) 11 배송지시 21 ,shppTabProgStatCd,업체 주문/배송,1,단일,✅ 핵심 UDS,shppTabProgStatCd: 최종배송상세진행상태코드(배송단위) 11 배송지시 21 피킹지시 22 피킹완료 31 패킹완료 41 출고보류 42 출고지연 43 출고완료 51 배송완료 52 배송거절 Final Shipping Detail Process Status Code (Shipping Unit) 11 Shipping Instructed 21 Picking Instructed 22 Picking Completed 31 Packing Completed 41 Release On Hold 42 Release Delayed 43 Release Completed 51 Shipping Completed 52 Shipping Rejected
최종배송상세진행상태코드(배송상품단위) 11 배송지시 2,lastShppProgStatDtlCd,업체 주문/배송,1,단일,✅ 핵심 UDS,lastShppProgStatDtlCd: 최종배송상세진행상태코드(배송상품단위) 11 배송지시 21 피킹지시 22 피킹완료 31 패킹완료 41 출고보류 42 출고지연 43 출고완료 51 배송완료 52 배송거절 Final Shipping Detail Process Status Code (Shipping Item Unit) 11 Shipping Instructed 21 Picking Instructed 22 Picking Completed 31 Packing Completed 41 Release On Hold 42 Release Delayed 43 Release Completed 51 Shipping Completed 52 Shipping Rejected
출고기준일 Deadline of Retrieval (D,whoutCritnDt,업체 주문/배송,1,단일,✅ 핵심 UDS,whoutCritnDt: 출고기준일 Deadline of Retrieval (Date) | whoutCritnDt: 출고기준일 Deadline of Retrieval (Date) | whoutCritnDt: 출고기준일 Deadline of Retrieval (Date)
출고수량 Release Quantity,whoutItemQty,업체 주문/배송,1,단일,✅ 핵심 UDS,whoutItemQty: 출고수량 Release Quantity
출고완료일시 Release Completed Date,whoutCmplDts / whoutDt,업체 주문/배송,1,단일,✅ 핵심 UDS,whoutCmplDts: 출고완료일시 Release Completed Date | whoutDt: 출고완료일시 Release Completed Date
출고유형 상세코드,shppDivDtlCd,업체 주문/배송,1,단일,✅ 핵심 UDS,shppDivDtlCd: 배송구분상세코드 11 일반출고 12 부분출고 14 재배송 15 교환출고 16 AS출고 Release Type 11 General Release 12 Partial Release 14 Re-shipping 15 Exchange Release 16 AS Release | shppDivDtlCd: 배송구분상세코드 11 일반출고 12 부분출고 14 재배송 15 교환출고 16 AS출고 Release Type 11 General Release 12 Partial Release 14 Re-shipping 15 Exchange Release 16 AS Release | shppDivDtlCd: 샘플코드에서 확인된 필드
출고일구분코드 10: 오늘출발 Forwarding da,whddDivCd,업체 주문/배송,1,단일,✅ 핵심 UDS,whddDivCd: 출고일구분코드 10: 오늘출발 Forwarding date classification code 10: one-day shipping | whddDivCd: 출고일구분코드 10: 오늘출발 Forwarding date classification code 10: one-day shipping
