UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
Street Or Road Name Address ID,doroAddrId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,doroAddrId: Street Or Road Name Address ID
Street Or Road Name Address Us,doroAddrUseYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,doroAddrUseYn: Street Or Road Name Address Use Yes Or No
Street Or Road Name Basic Address,doroAddrBasc,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,doroAddrBasc: Street Or Road Name Basic Address
Street Or Road Name Detail Address,doroAddrDtl,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,doroAddrDtl: Street Or Road Name Detail Address
Use Yes Or No,useYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,useYn: Use Yes Or No | useYn: Use Yes Or No | useYn: Use Yes Or No
Use Yes Or No (Y/N),shppcstAplYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,shppcstAplYn: Use Yes Or No (Y/N)
Use Yes or No (Y/N),shppcstAplYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,shppcstAplYn: Use Yes or No (Y/N)
Vendor Seller Type Code (commC,venSellerTypeCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,venSellerTypeCd: Vendor Seller Type Code (commCd:V037) 20 Domestic Seller 30 Foreign Seller | venSellerTypeCd: Vendor Seller Type Code (commCd:V037) 20 Domestic Seller 30 Foreign Seller
Y,enbrLowVenList,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,enbrLowVenList: Y
Zip Code,zipcd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,zipcd: Zip Code
Zip/Postal Code,frgZipcd / zipcd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,frgZipcd: Zip/Postal Code | zipcd: Zip/Postal Code | zipcd: Zip/Postal Code
description,shppcstCntt,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,shppcstCntt: description | shppcstCntt: description
gmarketLowVenAddrDtoList,gmarketLowVenAddrDtoList,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,
object,enbrLowVen / gmarketLowVenAddrDto / shppcstPlcy / venAddrDelInfoDto / venItemChngAuth,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,shppcstPlcy: object | venAddrDelInfoDto: object | venAddrDelInfoDto: object
requestEnbrLowVenInsertDto,requestEnbrLowVenInsertDto,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,
requestFrgVenAddrInsert,requestFrgVenAddrInsert,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,
requestGmarketLowVenAddrDto,requestGmarketLowVenAddrDto,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,
requestShppcstPlcyInsert,requestShppcstPlcyInsert,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,
requestVenAddrInsert,requestVenAddrInsert,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,
shppcstPlcys,shppcstPlcys,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,
venAddrDelInfo,venAddrDelInfo,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,
venItemChngAuthList,venItemChngAuthList,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,
결과,result,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,result: 샘플코드에서 확인된 필드 | result: 샘플코드에서 확인된 필드 | result: 샘플코드에서 확인된 필드
결과 메시지,resultMessage,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,resultMessage: Result Message | resultMessage: Result Message | resultMessage: Result Message
결과 설명,resultDesc,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,resultDesc: Error Message | resultDesc: Error Message | resultDesc: Error Message
결과코드,resultCode,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,"resultCode: Result Code (00 normal, the rest error) | resultCode: Result Code (00 normal, the rest error) | resultCode: Result Code (00 normal, the rest error)"
계약요금 (택배사가 CJ대한통운/우체국택배/롯데택배/로젠택배/한진택배인 ,delicoContrAmt,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,"delicoContrAmt: 계약요금 (택배사가 CJ대한통운/우체국택배/롯데택배/로젠택배/한진택배인 경우 필수, 일양로지스인 경우 선택) ※ 일양로지스인 경우 계약요금을 입력한 경우에만 자동회수 설정이 가능합니다. Contract Cost (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang) ※ In case of Ilyang, automatic return service is possible only when the Contract Cost is input. | delicoContrAmt: 계약요금 (택배사가 CJ대한통운/우체국택배/롯데택배/로젠택배/한진택배인 경우 필수, 일양로지스인 경우 선택) ※ 일양로지스인 경우 계약요금을 입력한 경우에만 자동회수 설정이 가능합니다. Contract Cost (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang) ※ In case of Ilyang, automatic return service is possible only when the Contract Cost is input. | delicoContrAmt: 계약요금 (택배사가 CJ대한통운/우체국택배/롯데택배/로젠택배/한진택배인 경우 필수, 일양로지스인 경우 선택) ※ 일양로지스인 경우 계약요금을 입력한 경우에만 자동회수 설정이 가능합니다. Contract Cost (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang) ※ In case of Ilyang, automatic return service is possible only when the Contract Cost is input."
국가코드 Country Code,cntryCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,cntryCd: 국가코드 Country Code | cntryCd: 국가코드 Country Code | cntryCd: 국가코드 Country Code
그룹 주소 ID Group Address ID,grpAddrId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,grpAddrId: 그룹 주소 ID Group Address ID | grpAddrId: 그룹 주소 ID Group Address ID | grpAddrId: 그룹 주소 ID Group Address ID
그룹주소ID group Address Id,grpAddrId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,grpAddrId: 그룹주소ID group Address Id
기본주소여부 Basic Address Yes Or No,bascAddrYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,bascAddrYn: 기본주소여부 Basic Address Yes Or No | bascAddrYn: 기본주소여부 Basic Address Yes Or No | bascAddrYn: 기본주소여부 Basic Address Yes Or No
도로명 기본주소 Street Or Road Name Basic Addre,doroAddrBasc,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,doroAddrBasc: 도로명 기본주소 Street Or Road Name Basic Address | doroAddrBasc: 도로명 기본주소 Street Or Road Name Basic Address | doroAddrBasc: 도로명 기본주소 Street Or Road Name Basic Address
도로명 상세주소 Street Or Road Name Detail Addr,doroAddrDtl,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,doroAddrDtl: 도로명 상세주소 Street Or Road Name Detail Address | doroAddrDtl: 도로명 상세주소 Street Or Road Name Detail Address | doroAddrDtl: 도로명 상세주소 Street Or Road Name Detail Address
도로명 주소 ID Street Or Road Name ,doroAddrId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,doroAddrId: 도로명 주소 ID Street Or Road Name Address ID | doroAddrId: 도로명 주소 ID Street Or Road Name Address ID
도로명 주소 사용 여부 Street Or Road Na,doroAddrUseYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,doroAddrUseYn: 도로명 주소 사용 여부 Street Or Road Name Address Use Yes Or No | doroAddrUseYn: 도로명 주소 사용 여부 Street Or Road Name Address Use Yes Or No
배송비,shppcst,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,shppcst: Shipping Cost | shppcst: Shipping Cost (less than 9 characters) | shppcst: Shipping Cost
배송비 정책 ID,shppcstId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,shppcstId: Shipping Cost Identification | shppcstId: Shipping Cost Identification | shppcstId: Shipping Cost Identification Required only modification
샘플코드에서 확인된 필드,AuthBizno / AuthVenId / accept / addrId / addrlcAntnmNm / aprvDivCd / aprvRstCd / bascAddr / bascAddrYn / cityNm / cntryCd / cnts / cntsCntryCd / delicoContrAmt / delicoTrscNo / doroAddrBasc / doroAddrDtl / doroAddrId / doroAddrUseYn / dtlAddr / frgTelno / frgZipcd / goodsMngCd / grpAddrId / jibunAddrBasc / jibunAddrDtl / jibunAddrId / jibunAddrUseYn / lnkgRstCd / requestFrgVenAddrInsert / requestVenAddrInsert / stNm / useYn / venAddrDelInfo / venAddrDelInfoDto / venSellerTypeCd / zipcd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,accept: 샘플코드에서 확인된 필드 | accept: 샘플코드에서 확인된 필드 | accept: 샘플코드에서 확인된 필드
