UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
지시수량 Instructed Quantity,dircItemQty,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,dircItemQty: 지시수량 Instructed Quantity
지시수량(원주문단위) Order Quantity,dircItemQty,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,dircItemQty: 지시수량(원주문단위) Order Quantity
처리수량 Recollect Quantity,procItemQty,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,procItemQty: 처리수량 Recollect Quantity | procItemQty: 처리수량 Recollect Quantity | procItemQty: 처리수량 Recollect Quantity
최종배송상세진행상태명 Final Shipping Detail Proces,lastShppProgStatDtlNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,lastShppProgStatDtlNm: 최종배송상세진행상태명 Final Shipping Detail Process Status Name
최종배송상세진행상태코드 61 회수지시 63 회수확인 6,lastShppProgStatDtlCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,lastShppProgStatDtlCd: 최종배송상세진행상태코드 61 회수지시 63 회수확인 64 회수완료 65 회수완료보류 66 회수철회 Final Shipping Detail Process Status Code 61 Recollect Instructed 63 Recollect Confirmed 64 Recollect Completed 65 Recollect Completed On Hold 66 Recollect Revoked
출고배송비용 Shipment Shipping Cost,shpmtShppcst,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shpmtShppcst: 출고배송비용 Shipment Shipping Cost
출고유형 상세코드,shppDivDtlCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppDivDtlCd: 배송구분상세코드 21 반품회수 22 교환회수 23 AS회수 Release Type 21 Return 22 Exchange 23 AS | shppDivDtlCd: 샘플코드에서 확인된 필드
취소수량(클레임단위) Cancel Order Quantity,cnclItemQty,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,cnclItemQty: 취소수량(클레임단위) Cancel Order Quantity
클레임사유내용 Claim Reason Contents,clmRsnCntt,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,clmRsnCntt: 클레임사유내용 Claim Reason Contents
클레임사유내용(귀책사유(세)) Claim Reason Content,clmRsnCntt,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,clmRsnCntt: 클레임사유내용(귀책사유(세)) Claim Reason Content
클레임사유명 Claim Reason Name,clmRsnNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,clmRsnNm: 클레임사유명 Claim Reason Name
클레임사유코드 251 단순취소 252 사이즈/색상 옵션,clmRsnCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,clmRsnCd: 클레임사유코드 251 단순취소 252 사이즈/색상 옵션 변경 253 재주문 258 배송지 변경 259 최저가아님 260 배송시간변경 Claim Reason Code 251 Simple Cancel 252 Size/Color Option Change 253 ReOrder 258 Ship Address Change 259 Not Low Price 260 Ship Time Change
클레임사유코드 Claim Reason Code,clmRsnCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,clmRsnCd: 클레임사유코드 Claim Reason Code
클레임사유코드명 Claim Reason Name,clmRsnNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,clmRsnNm: 클레임사유코드명 Claim Reason Name
